DMC R G B
543 242 227 206
550 92 24 78
552 128 58 107
553 163 99 139
554 219 179 203
561 44 106 69
562 83 151 106
563 143 192 152
564 167 205 175
580 136 141 51
581 167 174 56
597 91 163 179
598 144 195 204
600 205 47 99
601 209 40 106
602 226 72 116
603 255 164 190
604 255 176 190
605 255 192 205
606 250 50 3
608 253 93 53
610 121 96 71
611 150 118 86
612 188 154 120
613 220 196 170
632 135 85 57
640 133 123 97
642 164 152 120
644 221 216 203
645 110 101 92
647 176 166 156
648 188 180 172
666 227 29 66
676 229 206 151
677 245 236 203
680 188 141 14
699 5 101 23
700 7 115 27
701 63 143 41
702 71 167 47
703 123 181 71
704 158 207 52
712 255 251 239
718 156 36 98
720 229 92 31
721 242 120 66
722 247 151 111
725 255 200 64
726 253 215 85
727 255 241 175
728 228 180 104
729 208 165 62
730 130 123 48
731 147 139 55
732 148 140 54
733 188 179 76
734 199 192 119
738 236 204 158
739 248 228 200
740 255 139 0
741 255 163 43
742 255 191 87
743 254 211 118
744 255 231 147
745 255 233 173
746 252 252 238
747 229 252 253
754 247 203 191
758 238 170 155
760 245 173 173
761 255 201 201
762 236 236 236
772 228 236 212
775 217 235 241
776 252 176 185
777 145 53 70
778 223 179 187
779 98 75 69
780 148 99 26
781 162 109 32
782 174 119 32
783 206 145 36
791 70 69 99
792 85 91 123
793 112 125 162
794 143 156 193
796 17 65 109
797 19 71 125
798 70 106 142
799 116 142 182
800 192 204 222
801 101 57 25
803 44 89 124
806 61 149 165
807 100 171 186
809 148 168 198
813 161 194 215
814 123 0 27
815 135 7 31
816 151 11 35
817 187 5 31
818 255 223 217
819 255 238 235
820 14 54 92
822 231 226 211
823 33 48 99
824 57 105 135
825 71 129 165
826 107 158 191
827 189 221 237
828 197 232 237
829 126 107 66
830 141 120 75
831 170 143 86
832 189 155 81
833 200 171 108
834 219 190 127
838 89 73 55
839 103 85 65
840 154 124 92
841 182 155 126
842 209 186 161
844 72 72 72
869 131 94 57
890 23 73 35
891 255 87 115
892 255 121 140
893 252 144 162
894 255 178 187
895 27 83 0
898 73 42 19
899 242 118 136
900 209 88 7
902 130 38 55
904 85 120 34
905 98 138 40
906 127 179 53
907 199 230 102
909 21 111 73
910 24 126 86
911 24 144 101
912 27 157 107
913 109 171 119
915 130 0 67
917 155 19 89
918 130 52 10
919 166 69 16
920 172 84 20
921 198 98 24
922 226 115 35
924 86 106 106
926 152 174 174
927 189 203 203
928 221 227 227
930 69 92 113
931 106 133 158
932 162 181 198
934 49 57 25
935 66 77 33
936 76 88 38
937 98 113 51
938 54 31 14
939 27 40 83
943 61 147 132
945 251 213 187
946 235 99 7
947 255 123 77
948 254 231 218
950 238 211 196
951 255 226 207
954 136 186 145
955 162 214 173
956 255 145 145
957 253 181 181
958 62 182 161
959 89 199 180
961 207 115 115
962 230 138 138
963 255 215 215
964 169 226 216
966 185 215 192
967 255 222 213
970 247 139 19
971 246 127 0
972 255 181 21
973 255 227 0
975 145 79 18
976 194 129 66
977 220 156 86
986 64 82 48
987 88 113 65
988 115 139 91
989 141 166 117
991 71 123 110
992 111 174 159
993 144 192 180
995 38 150 182
996 48 194 236
3011 137 138 88
3012 166 167 93
3013 185 185 130
3021 79 75 65
3022 142 144 120
3023 177 170 151
3024 235 234 231
3031 75 60 42
3032 179 159 139
3033 227 216 204
3041 149 111 124
3042 183 157 167
3045 188 150 106
3046 216 188 154
3047 231 214 193
3051 95 102 72
3052 136 146 104
3053 156 164 130
3064 196 142 112
3072 230 232 232
3078 253 249 205
3325 184 210 230
3326 251 173 180
3328 227 109 109
3340 255 131 111
3341 252 171 152
3345 27 89 21
3346 64 106 58
3347 113 147 92
3348 204 217 177
3350 188 67 101
3354 228 166 172
3362 94 107 71
3363 114 130 86
3364 131 151 95
3371 30 17 8
3607 197 73 137
3608 234 156 196
3609 244 174 213
3685 136 21 49
3687 201 107 112
3688 231 169 172
3689 251 191 194
3705 255 121 146
3706 255 173 188
3708 255 203 213
3712 241 135 135
3713 255 226 226
3716 255 189 189
3721 161 75 81
3722 188 108 100
3726 155 91 102
3727 219 169 178
3731 218 103 131
3733 232 135 155
3740 120 87 98
3743 215 203 211
3746 119 107 152
3747 211 215 237
3750 56 76 94
3752 199 209 219
3753 219 226 233
3755 147 180 206
3756 238 252 252
3760 62 133 162
3761 172 216 226
3765 52 127 140
3766 153 207 217
3768 101 127 127
3770 255 238 227
3771 244 187 169
3772 160 108 80
3773 182 117 82
3774 243 225 215
3776 207 121 57
3777 134 48 34
3778 217 137 120
3779 248 202 200
3781 107 87 67
3782 210 188 166
3787 98 93 80
3790 127 106 85
3799 66 66 66
3801 231 73 103
3802 113 65 73
3803 171 51 87
3804 224 40 118
3805 243 71 139
3806 255 140 174
3807 96 103 140
3808 54 105 112
3809 63 124 133
3810 72 142 154
3811 188 227 230
3812 47 140 132
3813 178 212 189
3814 80 139 125
3815 71 119 89
3816 101 165 125
3817 153 195 170
3818 17 90 59
3819 224 232 104
3820 223 182 95
3821 243 206 117
3822 246 220 152
3823 255 253 227
3824 254 205 194
3825 253 189 150
3826 173 114 57
3827 247 187 119
3828 183 139 97
3829 169 130 4
3830 185 85 68
3831 179 47 72
3832 219 85 110
3833 234 134 153
3834 114 55 93
3835 148 96 131
3836 186 145 170
3837 108 58 110
3838 92 114 148
3839 123 142 171
3840 176 192 218
3841 205 223 237
3842 50 102 124
3843 20 170 208
3844 18 174 186
3845 4 196 202
3846 6 227 230
3847 52 125 117
3848 85 147 146
3849 82 179 164
3850 55 132 119
3851 73 179 161
3852 205 157 55
3853 242 151 70
3854 242 175 104
3855 250 211 150
3856 255 211 181
3857 104 37 26
3858 150 74 63
3859 186 139 124
3860 125 93 87
3861 166 136 129
3862 138 110 78
3863 164 131 92
3864 203 182 156
3865 249 247 241
3866 250 246 240
5200 255 255 255
